Season,Episode,Speaker,To,Line,Location
5,1,Mark,Mark,So unhappy. I wonder if anyone has ever been this unhappy while drinking champagne?,Living Room
5,1,Jeremy,Mark,"You know, these are nice. Nice shot of you two, nice font. Just a great all-round package.",Living Room
5,1,Mark,Jeremy,"That's the last bottle, OK? I'm saving it.",Living Room
5,1,Jeremy,Mark,"What for? In case you marry someone else called Sophie, who looks exactly like Sophie, and you don't jilt her?",Living Room
5,1,Jeremy,Paula,"Paula... Yello. How's my hot date for tonight? Hmm? Heather? Yeah, I think I remember. Double date? Yeah, why not? Yeah, I think I've got just the guy. Hang on.",Living Room
5,1,Jeremy,Mark,"Mark, double date, tonight?",Living Room
5,1,Mark,Jeremy,No... what's she like? Is she sexy?,Living Room
5,1,Jeremy,Mark,"Mark, beggars can't be choosers. She's an actual woman.",Living Room
5,1,Mark,Jeremy,"It's too early. I'm not into it. No, I'm still technically married. I'm not safe to be reintroduced into society yet.",Living Room
5,1,Jeremy,Paula,"OK, I've got someone. Tell her not to get her hopes up, but he's a safe pair of hands. Yeah, see you there. Bye-bye, bye, bye.",Living Room
5,1,Jeremy,Mark,You're back in the game!,Living Room
5,1,Mark,Jeremy,"God, no. No, it's too early. No, cancel! Call her back and cancel. Tell her the whole story. Although... tell me more about her. What's she like? Is she sexy? She's not too sexy, is she?",Living Room
5,1,Jeremy,Mark,"She's a friend of Paula's. You remember Paula, Toni's sister?",Living Room
5,1,Mark,Jeremy,Are you sure this isn't going to be a nightmare encounter?,Living Room
5,1,Jeremy,Mark,"No, Paula's cool. She's cultural. We're gonna see a play tonight.",Living Room
5,1,Mark,Jeremy,A play?,Living Room
5,1,Jeremy,Mark,"Yeah I know, but relax, it's all different now, they've moved on. They use proper actors. You know, Americans and people off the telly. And they're all based on films, so it's fine. We might need to tidy up a bit. And we might have to un-tape the DVD and video and TV and Sky remotes.",Living Room
5,1,Mark,Jeremy,The Megatron? But... no.,Living Room
5,1,Jeremy,Mark,"It smells wrong. I mean, the Megatron doesn't say ""urban free-wheelers"". It says ""sofa masturbators"", you know?",Living Room
5,1,Jeremy,Mark,Here we are. What are you doing?,Theatre Bar
5,1,Mark,Jeremy,"Friends of the British Museum magazine. Clearly, I'm not a Johnny Depp, Tony Parsons hunk of the month. I need my props. I have my rituals. Magazine under the arm, Old Meg in the wallet.",Theatre Bar
5,1,Mark,Mark,Still two years off expiry.,Theatre Bar
5,1,Jeremy,Mark,There they are. Heather's the blonde.,Theatre Bar
5,1,Mark,Jeremy,"Oh my God, look at her. She's perfect! I love her, Jez. I don't know if I can do this. You stay, I'm gonna go home. Tell her I love her.",Theatre Bar
5,1,Jeremy,Mark,Will you keep it together? Just play it cool.,Theatre Bar
5,1,Mark,Mark,Maybe she's the one. My marriage was just a warm-up for the one.,Theatre Bar
5,1,Jeremy,Heather,"Heather, this is Mark.",Theatre Bar
5,1,Heather,Mark,Um... hi.,Theatre Bar
5,1,Mark,Heather,Hi.,Theatre Bar
5,1,Mark,Mark,Jeremy was right. She is an actual woman.,Theatre Bar
5,1,Paula,Jeremy,Shall we get a drink?,Theatre Bar
5,1,Heather,Mark,"Um... listen, thanks for stepping in at short notice. Oh, wow, the samurai exhibition. God, doesn't it look amazing?",Theatre Bar
5,1,Mark,Heather,"Well, I'm no expert but if it's old and involves swords, I'm basically interested. I could get us tickets, if that wasn't incredibly forward.",Theatre Bar
5,1,Heather,Mark,"Oh I'd love to, 'cause um, I did a whole course on it in college, but um, I checked. It's all sold out for the next few weeks.",Theatre Bar
5,1,Mark,Heather,"Well, it is to the shit-munchers, but I'm actually a Friend of the British Museum.",Theatre Bar
5,1,Heather,Mark,"Oh, right, well, yeah, that would be great.",Theatre Bar
5,1,Mark,Mark,"Oh, my God! I've already closed on a second date. This magazine is sexual dynamite!",Theatre Bar
5,1,Jeremy,Paula,"So, great to see you.",Theatre Bar
5,1,Paula,Jeremy,"Listen, Jez, There's something I needed to tell you. It's a bit difficult actually.",Theatre Bar
5,1,Jeremy,Paula,Oh. OK.,Theatre Bar
5,1,Paula,Jeremy,"The other day, I found out... well, I was in the clinic and... basically I've got a sexually transmitted disease.",Theatre Bar
5,1,Jeremy,Paula,It wasn't me.,Theatre Bar
5,1,Paula,Jeremy,"I didn't say it was. It's chlamydia. I was just telling you in case you want to get tested. Lots of times it's symptom-less basically, so it's just...",Theatre Bar
5,1,Jeremy,Paula,"It's symptom-less? Oh, right. So, what's the biggie? I mean, no one minds if the Invisible Man comes to dinner.",Theatre Bar
5,1,Jeremy,Jeremy,Maybe I can get into this. Sexually transmitted disease. Sexually-transmitted. Sexually. Sexy. I'm feeling sexy.,Theatre Bar
5,1,Paula,Jeremy,"You haven't noticed any unusual discharge from your penis, have you?",Theatre Bar
