Season,Episode,Speaker,To,Line,Location
2,1,Jeremy,Jeremy, Mmm.,Flat
2,1,Mark,Jeremy," Jeremy, what are you doing?",Flat
2,1,Jeremy,Mark," It's Toni. She's rummaging. I'm watching her rummage. God, do you know what? I think I love her.",Flat
2,1,Mark,Jeremy, You love her? What do you love about her?,Flat
2,1,Jeremy,Mark," Mmm, everything. Her vibe. Oh, God, why does the world have to be so wrong?",Flat
2,1,Mark,Jeremy," Come on, Jez! You don't love her. You're just jealous 'cause her husband's back.",Flat
2,1,Jeremy,Mark," There's only so much happiness in the world, Mark, and they're hoarding it all.",Flat
2,1,Mark,Jeremy, That's not how happiness works.,Flat
2,1,Mark,Mark,It completely is,Flat
2,1,Jeremy,Mark," Yeah, what would you know about love or happiness?",Flat
2,1,Mark,Mark,"What do I know about love and happiness? I know you have to play dirty, my friend. Just can't seem to crack it. Got to go! Can't believe Personnel issued happy hats. Johnson's our new boss. Course we're going to be happy.",JLB
2,1,Johnson,Others, I'd like to thank everyone for such a warm welcome to JLB...,JLB
2,1,Mark,Mark,Maybe I should stop trying to break into her e-mail. Just have a nice big talk to Sophie. A proper chat. Really get down to it.,JLB
2,1,Johnson,Others, ...what this department needs a kick up the arse so hard my foot'll go right up your digestive tract and wiggle out your mouth like a little leather tongue.,JLB
2,1,Mark,Mark,"Yeah, fuck carrot and stick, he's making the stick out of carrot. Jesus, he's good. Careful, there's man love and there's business love and never the twain shall meet. OK, Sophie, here goes. No running away, just stay here and let it all flood out.",JLB
2,1,Sophie,Mark," Hey, Mark! How's it hanging?",JLB
2,1,Mark,Sophie," OK, thanks. Sophie, I was wondering- I was hoping that we could have a chat. A proper chat.",JLB
2,1,Sophie,Mark, Oh. Yeah?,JLB
2,1,Mark,Sophie," Yeah. So... tell me, what was the name of your first childhood pet?",JLB
2,1,Sophie,Mark," Gerbil, the gerbil.",JLB
2,1,Sophie,Mark, I love this song! Why?,JLB
2,1,Mark,Sophie," Oh, Jeremy and I were having a bet. Only wine gums, but it makes the evenings go a bit quicker.",JLB
2,1,Sophie,Mark," Uh huh. So, do you want to dance?",JLB
2,1,Mark,Sophie," I can't, really, it's not…",JLB
2,1,Jeff,Sophie," Hi, Soph. You dancing?",JLB
2,1,Sophie,Jeff," Oh, you betcha!",JLB
2,1,Mark,Mark,"Yeah, you won't be so cocky, Jeff, when I come into the office with a Kalashnikov and two hundred rounds of ammunition. I'm probably exactly the sort of person who could end up doing something like that.",JLB
2,1,Mark,Mark,"Come on, gerbil! Ah, cock-knobs! All right, what's her favourite TV show? Sex and the City. S-A-T-C. Bollocks. Maybe she thinks it's Sex In the City. Yes! I'm in! Bollocks to emoting, I've got my hands on her innards! Hello... ""Mark vs Jeff"", this I have to see. Blah, blah, ""Jeff's a laugh, but he can be a bit of an arsehole, but I do fancy him. Mark's clever and funny, but he's so serious. I wish we could just be mates for a while but he's so uptight."" OK.",JLB
2,1,Mark,Sophie," Hey, Soph!",JLB
2,1,Sophie,Mark," Hey, Mark! So, you wanted to have a big chat and everything?",JLB
2,1,Mark,Sophie," Yeah, we could do, but then why be so serious and uptight all the time? We're mates, we should relax, do matey things, yeah?",JLB
2,1,Sophie,Mark, Absolutely!,JLB
2,1,Mark,Sophie," Like a movie. A movie on a wet Saturday. That's what mates do, right?",JLB
2,1,Sophie,Mark, Sure. Or what about a dance class? If you think you can face it you can come to my dance class!,JLB
2,1,Mark,Sophie," Dancing? Yes, dancing, I love dancing.",JLB
2,1,Mark,Mark,Because it makes me look like a coma victim being stood up and zapped with a cattle prod.,JLB
2,1,Toni,Jeremy," How about biscotti? Jeremy, would you like some biscotti?",Toni's Flat
2,1,Jeremy,Toni," Uh, sure.",Toni's Flat
2,1,Tony,Toni, I'll get them.,Toni's Flat
2,1,Toni,Jeremy," So, have you heard? Brand New Heavies are releasing a new album.",Toni's Flat
2,1,Jeremy,Toni," Toni, I love you. I can't hold it in, I absolutely fucking love you.",Toni's Flat
2,1,Toni,Jeremy," Jeremy, what are you... really?",Toni's Flat
2,1,Toni,Tony, I was just telling Jeremy about the Brand New Heavies new album.,Toni's Flat
2,1,Tony,Toni," Yeah. That's something to look forward to, isn't it?",Toni's Flat
2,1,Jeremy,Tony," I'd like a ginger nut, if there are any.",Toni's Flat
2,1,Tony,Jeremy," Yeah, I think there are some.",Toni's Flat
2,1,Jeremy,Toni," I love you, I love you, I love you, I love you, I love you.",Toni's Flat
2,1,Toni,Jeremy, Jeremy...,Toni's Flat
2,1,Jeremy,Toni," God, you're so... I mean…",Toni's Flat
2,1,Tony,Jeremy, What's going on?,Toni's Flat
2,1,Toni,Tony," Tony, Jeremy loves me.",Toni's Flat
2,1,Jeremy,Tony," Um, no, I didn't actually…",Toni's Flat
2,1,Tony,Jeremy," Of course you do. You're a moth, sucked in by the light. I've been banging my head for fifteen years against that beautiful light bulb, and I wouldn't change a day.",Toni's Flat
2,1,Tony,Jeremy," She's the beautiful poison, my friend.",Toni's Flat
2,1,Jeremy,Jeremy,"God, this is such a mess. It's fantastic.",Toni's Flat
2,1,Mark,Jeremy," This is the best thing for you, mate. Take your mind off it.",Rainbow Rhythms
2,1,Jeremy,Mark, Maybe I should send her a bit of ear. Or a finger. Just to show I'm really serious.,Rainbow Rhythms
2,1,Sophie,Mark,"Hi, guys! There's a changing room round there if you want to…",Rainbow Rhythms
2,1,Mark,Sophie," Um, I thought these would be... this is salsa, isn't it?",Rainbow Rhythms
2,1,Sophie,Mark," No. Oh, no, salsa's on Tuesdays. No this is Rainbow Rhythms, it's quite full-on. Mark, are you all right with that?",Rainbow Rhythms
2,1,Mark,Sophie, Me? Totally. This looks...cool.,Rainbow Rhythms
2,1,Mark,Mark,I've walked into my own personal nightmare. Must remain non-uptight for Sophie. Even if they make me play trust exercises with their genitals.,Rainbow Rhythms
2,1,Dance Teacher,Others," OK, so now we move into red, the colour of primal urges.",Rainbow Rhythms
2,1,Jeremy,Jeremy,Jesus. Mark's such a honky. I'm definitely the alpha-est male here. He's probably here for community service. He looks like he's actually getting a bonk on. I'm definitely king of the hippie jungle.,Rainbow Rhythms
2,1,Dance Teacher,Others," Now, take a partner. And with that partner, let the music take you into your primal self.",Rainbow Rhythms
2,1,Jeremy,Jeremy,Jesus Christ! She must be a tranny. She's no tranny!,Rainbow Rhythms
2,1,Mark,Mark,"I'm not really here, it's research. I'm Louis Theroux. I'm Louis Theroux. Hey! No fair, that's my fun! Got to get in there.",Rainbow Rhythms
2,1,Mark,Others,"Look, can you please just get out of my way? Thank you.",Rainbow Rhythms
2,1,Mark,Sophie,"Hey, Soph! I came with her. It's really hot! Do you fancy ducking out for a while?",Rainbow Rhythms
2,1,Sophie,Mark, We're right in the middle!,Rainbow Rhythms
2,1,Mark,Mark,Is this it? Is this what my granddad died for? The freedom to do this? Jesus!,Rainbow Rhythms
2,1,Dance Teacher,Others," So, how did we all experience the class?",Rainbow Rhythms
2,1,Others,Dance Teacher," Well, um I felt a lot of stuff to do with rejection coming up for me tonight. Um, I was dancing with someone and they made it very clear that they didn't want to be with me. Uh and it just brought up a lot of feelings. That's all. Thanks.",Rainbow Rhythms
2,1,Others,Dance Teacher," Yeah, there was a lot of new energy in the room tonight, and some of it was just so Rainbow Rhythms, and some of it was just so not Rainbow Rhythms. Thanks.",Rainbow Rhythms
2,1,Mark,Others," Why don't you just say who you're talking about? You're talking about me, aren't you?",Rainbow Rhythms
2,1,Others,Mark," Well, yes, all right, I am.",Rainbow Rhythms
2,1,Mark,Others," Well, listen. I'm sorry if I didn't do it right, and I'm sorry if you assume that I eat red meat and don't necessarily think money or Tony Blair are a bad thing, but if there isn't room here for people who stand against everything you believe in, then what sort of a hippie free-for-all is this?",Rainbow Rhythms
2,1,Jeremy,Jeremy,I can't believe yesterday morning I was trying to jerk off to Toni's answerphone message and this morning…,Jez's Room
2,1,Nancy,Jeremy," Oh, Jesus!",Jez's Room
2,1,Jeremy,Nancy," Oh, Jesus. Oh, Jesus!",Jez's Room
2,1,Nancy,Jeremy," Oh, Jesus, thank you for this experience!",Jez's Room
2,1,Jeremy,Nancy," Yeah, thanks, Jesus.",Jez's Room
2,1,Nancy,Jeremy," OK, now stop.",Jez's Room
2,1,Jeremy,Nancy, What?,Jez's Room
2,1,Nancy,Jeremy, Don't move a muscle. Now we hold this moment for as long as we can in total silence.,Jez's Room
2,1,Mark,Jeremy, Jeremy!,Jez's Room
2,1,Jeremy,Mark,Go... away!,Jez's Room
2,1,Mark,Jeremy," No, Jez. Look, we've discussed this. Early in the morning counts as late at night and we agreed no reggae music late at night, so…",Jez's Room
2,1,Jeremy,Mark, What?!,Jez's Room
2,1,Mark,Jeremy," Oh, for God's sake, Jeremy. I can't talk to you with that.",Jez's Room
2,1,Jeremy,Mark," What? Oh for God's sake, Mark, we've both got one, haven't we?",Jez's Room
2,1,Mark,Jeremy," Look, Jez, can you please just keep it quiet? Because some of us have jobs to go to.",Jez's Room
2,1,Jeremy,Mark," Mark, your job is going to the office. My job is having sex. Yeah? That's what I do now. That's what I am. I'm a sexer. OK?",Jez's Room
2,1,Nancy,Mark," Sorry, Mark, did we wake you? We were both coming so hard we didn't notice the volume.",Jez's Room
2,1,Mark,Nancy," An explanation. Finally. Thank you, Nancy. Thanks for the explanation.",Jez's Room
2,1,Mark,Mark,"OK, so, dance class. Ali-kazoo, ali-kazam, let's find out just how fucked I am. OK, here we go. 'And last night Mark was a bit weird.' Fair comment. 'He didn't really get it.' What's to get? 'But, shit! He came, so that was pretty amazing.' OK! 'Had dinner with Jeff later.' Ooh, naughty. 'Gave him a kiss, but not sure. He can be so pushy.' He kissed her?! I've got to make a move! Maybe I should try tapping her phone.",JLB
2,1,Mark,Mark,"Hope they're not doing it in the hall. There's nothing erotic about a hall, is there?",Flat
2,1,Mark,Jeremy,Hello?! I'm coming in now! This is me coming into my house!,Flat
2,1,Jeremy,Mark, Hey Mark.,Flat
2,1,Mark,Jeremy," All right, Jez. Is Nancy around?",Flat
2,1,Jeremy,Mark, Just gone. I'm seeing her down the Rhythms.,Flat
