Season,Episode,Speaker,To,Line,Location
7,1,Mark,Mark,Chipsticks or Frazzles? Chipsticks or Frazzles? Chipsticks or Frazzles?,Hospital
7,1,Jeremy,Mark,Shall I go on?,Hospital
7,1,Mark,Jeremy,"God, it's like a Stasi torture block.",Hospital
7,1,Jeremy,Mark,"The foetal head then passes below the pubic arch. At this point, the woman may feel a burning or stinging sensation.",Hospital
7,1,Mark,Jeremy,"The phrase, ""no shit Sherlock"" comes to mind.",Hospital
7,1,Jeremy,Mark,"Um, how much more do you want? What's an episiotomy?",Hospital
7,1,Mark,Jeremy,You don't wanna know mate.,Hospital
7,1,Jeremy,Mark,Why?,Hospital
7,1,Mark,Jeremy,"Well, you know, between your bum and your genitals, that area?",Hospital
7,1,Jeremy,Mark,It's one of my favourite areas.,Hospital
7,1,Mark,Jeremy,"Yeah, well, imagine someone snipping it with scissors.",Hospital
7,1,Jeremy,Mark,Oh my fucking life!,Hospital
7,1,Mark,Jeremy,"Yeah, either that or you can have it pull apart like wet tissue paper. Sophie's mum.",Hospital
7,1,Mark,Others,Hello?,Hospital
7,1,Jeremy,Jeremy,"So glad I'm not a woman. Worst thing that can happen to me is getting sent to war. Even then, I can find a cave and eat blackberries and tug myself off till it's over.",Hospital
7,1,Mark,Jeremy,"She's in Northumberland. They're on their way, but it could be five or six hours. Shit, I can't be the birth partner.",Hospital
7,1,Jeremy,Jeremy,"Hold on, I see where this is going. I ain't no birth partner.",Hospital
7,1,Jeremy,Mark,"Dude, you are gonna be a great birth partner!",Hospital
7,1,Mark,Jeremy,"The truth is, and I really wish it wasn't true, but I'm a... a paedophobe, to be honest.",Hospital
7,1,Jeremy,Mark,"Oh, right.",Hospital
7,1,Jeremy,Jeremy,Oh my life.,Hospital
7,1,Jeremy,Mark,I mean... I suppose I always wondered whether-,Hospital
7,1,Mark,Jeremy,"I've always felt really... weird around children, you know?",Hospital
7,1,Jeremy,Mark,"Right, yeah.",Hospital
7,1,Jeremy,Jeremy,Act supportive or punch his lights out?,Hospital
7,1,Jeremy,Mark,And are you gonna get help for-,Hospital
7,1,Mark,Jeremy,"I don't know, I mean what sort of help can you get for an irrational fear of children?",Hospital
7,1,Jeremy,Mark,"Paedophobe, oh right.",Hospital
7,1,Mark,Jeremy,"What did you think I meant? Oh, my God, Jeremy!",Hospital
7,1,Jeremy,Mark,"It's just paedo, phobe. I mean, they're both bad. I thought you were saying you were a mega-paedo.",Hospital
7,1,Mark,Jeremy,"You thought I was saying I was a mega-paedo? And your reaction was that ""you'd always wondered""?",Hospital
7,1,Jeremy,Mark,"I was grappling, I was grasping.",Hospital
7,1,Yana,Mark,Mark Corrigan?,Hospital
7,1,Mark,Yana,"I'm just going back in, I was only looking at the crisps and I got distracted. I've been three minutes max, honestly.",Hospital
7,1,Yana,Mark,You are allowed out.,Hospital
7,1,Mark,Mark,"You're nice, I wish I was having a baby with you.",Hospital
7,1,Yana,Mark,"We'll be in to see Sophie shortly and if things haven't progressed, we can always give her a cervical sweep, OK?",Hospital
7,1,Mark,Jeremy,The cervical sweep.,Hospital
7,1,Jeremy,Mark,Chim chim cher-ee.,Hospital
7,1,Mark,Sophie,"So listen, I've spoken to your mum and she's on her way.",Delivery Room
7,1,Sophie,Mark,"Oh, thank God.",Delivery Room
7,1,Mark,Sophie,"But hold your horses just one sec, because they are actually on their way from Northumberland, so until she gets here, I am very much your man.",Delivery Room
7,1,Sophie,Mark,Fucking hell.,Delivery Room
7,1,Mark,Sophie,Oh...,Delivery Room
7,1,Mark,Mark,"What do I say? Can't sit back and watch, eating popcorn. Can't alleviate.",Delivery Room
7,1,Mark,Sophie,"Ow, poor Soph, does it hurt?",Delivery Room
7,1,Sophie,Mark,"Yes, it fucking hurts!",Delivery Room
7,1,Mark,Sophie,Might be your mum.,Delivery Room
7,1,Mark,Others,"Hello? Oh, what? The boiler? You're kidding! But, it's just, no, sorry, thank you. I'll get it sorted.",Delivery Room
7,1,Mark,Sophie,"Wasn't your mum, it was just... a tiny thing, my boiler... it's nothing. It's cool, it's nothing, minor explosion. Forget it, I'm focused, OK, baby. Apparently, there's water leaking downst- so irrelevant.",Delivery Room
7,1,Sophie,Mark,"Can you fetch the TENS machine, Mark, it's really starting to-",Delivery Room
7,1,Mark,Sophie,"Right, OK, the TENS machine.",Delivery Room
7,1,Mark,Mark,"While my flat fills with water, what you need is an almost imperceptibly low dose of battery-powered pain relief.",Delivery Room
7,1,Sophie,Mark,"Can you try and relax, Mark?",Delivery Room
7,1,Mark,Sophie,"Sure, understood, I won't get anxious.",Delivery Room
7,1,Sophie,Mark,"Oh, it's rubbish.",Delivery Room
7,1,Mark,Mark,"Placid lake of water, placid lake of water filling up my flat from the gushing broken boiler.",Delivery Room
7,1,Sophie,Mark,Has the nurse said anything about the pool yet?,Delivery Room
7,1,Mark,Sophie,"Oh, what, water birth, isn't that a bit... zany?",Delivery Room
7,1,Sophie,Mark,I really feel I'll be much happier in the pool!,Delivery Room
7,1,Mark,Sophie,"OK then, I'm on it, Soph, I'm on it for you.",Delivery Room
7,1,Sophie,Mark,"And remember to ask for one of those nets for poo and bits, Mark.",Delivery Room
7,1,Mark,Sophie,Will do.,Delivery Room
7,1,Jeremy,Jeremy,"God, how did he get so old? I'll never let myself get so old. I mean, you have to get old up to a point, but that's ridiculous. Still nothing from Elena. I'll never fool anyone as beautiful as Elena into loving me again. Maybe I should kill myself. Hmmm, Gary Neville's conservatory is nice. Hello, put that suicide bid on hold. OK, a book, egghead alert.",Waiting Room
7,1,Jeremy,Zahra,"So, er... ""The Famished Road"", is that a sequel?",Waiting Room
7,1,Zahra,Jeremy,I'm sorry?,Waiting Room
7,1,Jeremy,Zahra,"To the one that was a film about the end of the world, ""The Road""? 'Cause they were hungry enough in that.",Waiting Room
7,1,Zahra,Jeremy,Ha. Good one.,Waiting Room
7,1,Jeremy,Jeremy,Didn't even know it was a one.,Waiting Room
7,1,Zahra,Jeremy,I'm Zahra.,Waiting Room
7,1,Jeremy,Zahra,"Jeremy. So, what are you in for? You don't have to tell me, if it's disgusting.",Waiting Room
7,1,Zahra,Jeremy,My boyfriend's in intensive care.,Waiting Room
7,1,Jeremy,Jeremy,Boyfriend.,Waiting Room
7,1,Jeremy,Zahra,Oh.,Waiting Room
7,1,Zahra,Jeremy,"Yeah, he's in a bad way, unconscious. They don't know when he's going to come round.",Waiting Room
7,1,Jeremy,Zahra,That's terrible.,Waiting Room
7,1,Jeremy,Jeremy,Terri-brill.,Waiting Room
7,1,Mark,Mark,"OK, birthing pool, don't believe in it but I have to sell it. I'm Clare Short backing Iraq, Trinny and Susannah endorsing Nescafé.",Hospital
7,1,Mark,Nurse,"Hi, hello, I wondered what happened to the nurse from before?",Hospital
7,1,Nurse,Mark,Which nurse?,Hospital
7,1,Mark,Nurse,The one who was...,Hospital
7,1,Mark,Mark,nice,Hospital
7,1,Mark,Nurse,here.,Hospital
7,1,Nurse,Mark,Yana's finished her shift.,Hospital
7,1,Mark,Nurse,"Ah, oh, OK. Well, we, er, discussed the possibility, earlier of using a pool.",Hospital
7,1,Nurse,Mark,"Well, I don't have a note of that.",Hospital
7,1,Mark,Mark,"Great, Yana's a flake. The lovely nurse who doesn't write anything down. She probably only works here to get her hands on ludes.",Hospital
7,1,Nurse,Mark,And both birthing pools are all either occupied or-,Hospital
7,1,Mark,Nurse,"Look, I need a pool, OK? We want a natural birth. God knows some people aren't convinced of the benefits of a water birth, but I for one am not one of them. So, please could you sort that out?",Hospital
7,1,Nurse,Mark,I'll see what I can do. Very well. Good day.,Hospital
7,1,Mark,Mark,"Good day? God, I'm so stern. Maybe I'll end up marrying her instead and we'll have brisk, clinical sex.",Hospital
7,1,Jeremy,Mark,"How's it going, dude?",Hospital
7,1,Mark,Jeremy,"I estimate we're looking at a five centimetre cervix, plus the boiler's exploded.",Hospital
7,1,Jeremy,Jeremy,"Hey, that's Zahra's.",Hospital
7,1,Mark,Jeremy,Who was that good plumber? Sophie's nice guy?,Hospital
7,1,Jeremy,Mark,"Look, you're stressing it. How about I sort it?",Hospital
7,1,Mark,Jeremy,Really?,Hospital
7,1,Jeremy,Mark,Really?,Hospital
7,1,Mark,Jeremy,"Thanks, man.",Hospital
7,1,Jeremy,Jeremy,He's so lucky I'm the kind of guy who would never spike a coffee with Rohypnol. Too many practical risks before we even get into the moral considerations.,Hospital
7,1,Mark,Sophie,"OK, pretty tough but I managed it. I said, listen, you do things our way. My birth partner has requested this and I don't care if I have to take it to the very top of the GMC, got it?",Delivery Room
7,1,Sophie,Mark,"Mark, I can't do this.",Delivery Room
7,1,Mark,Sophie,"OK. Is that better, or is that better?",Delivery Room
7,1,Sophie,Mark,I don't care!,Delivery Room
7,1,Mark,Sophie,Or is that better?,Delivery Room
7,1,Sophie,Mark,"Oh, I want it to stop, it's all too much.",Delivery Room
7,1,Mark,Sophie,"Soph, it's OK, we'll get you in the pool, I'm gonna sort it.",Delivery Room
7,1,Sophie,Mark,"I don't want a pool, I need pain relief, Mark!",Delivery Room
7,1,Mark,Sophie,"Oh, you don't want the pool?",Delivery Room
7,1,Sophie,Mark,"No, I want an epidural or someone to smack me on the head or just- fuck!",Delivery Room
7,1,Mark,Sophie,"It's just I did ask very firmly for the pool. If I go back now, I'll look-",Delivery Room
7,1,Sophie,Mark,You'll look what?,Delivery Room
7,1,Mark,Sophie,"It's just, it'll weaken my negotiating position. No, Soph, yep, I'm on it, just a tiny query. Can you remember, not at your last place, but the place before, the name of that nice plumber? Was it Tom or Tim? No biggie, but if it jumps into your head, can you just pop the number down there, would you?",Delivery Room
7,1,Jeremy,Jeremy,"Wow, private room, this guy's lucked out.",Ben's Hospital Room
7,1,Zahra,Ben,"Hi, Ben, I'm back.",Ben's Hospital Room
7,1,Jeremy,Ben,"Hi, Ben.",Ben's Hospital Room
7,1,Zahra,Jeremy,"I thought this might inspire him, you know, to write a novel, now he's unconscious.",Ben's Hospital Room
7,1,Jeremy,Zahra,"Mm-hm, right. You know, it's funny, just looking at him, I could tell we'd get on. He looks like a laugh, a right laugh. I sort of want to shake his hand. Would that be all right?",Ben's Hospital Room
7,1,Zahra,Jeremy,"Oh, go ahead.",Ben's Hospital Room
7,1,Jeremy,Ben,"Ah Ben, sleepy Ben.",Ben's Hospital Room
7,1,Jeremy,Jeremy,"I want to steal your girlfriend, Ben. I think I love your girlfriend.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Sleepy Ben, that's nice.",Ben's Hospital Room
7,1,Jeremy,Jeremy,"I definitely don't hope he dies. Definitely not, that would be horrible, but he does look like he could do with a nice long relaxing coma.",Ben's Hospital Room
