,index,Episode,Speaker,Internal,NumWords,Lines
0,0,1,Jeremy,False,9,"I could help for a little sweetener, a fiver?"
1,1,1,Jeremy,False,5,"I just need money, Mark."
2,2,1,Jeremy,False,28,"I don't need to be challenged, Mark, I just need something to do in the mornings, some purpose. I'm tired of staring at my own winkle all day."
3,3,1,Jeremy,True,20,"Hasn't got a girlfriend so he buys a new sofa. You can't fuck a sofa, mate, take it from me."
4,4,1,Jeremy,False,12,"This suit, it's sapping my vibe, my powers. I can't think right."
5,5,1,Jeremy,False,41,"I mean, there weren't any jobs when I didn't want a job. And now I do want a job, there are like, totally, no jobs. Not just like, there aren't any jobs, but like, there are totally, quite literally, no jobs."
6,6,1,Jeremy,False,8,"What is it, sex stuff, booze, drug gear?"
7,7,1,Jeremy,False,7,What?! Why'd you bring that in here?
8,8,1,Jeremy,False,9,There'll be plenty of time for the baby later.
9,9,1,Jeremy,False,8,"Yeah, that's the policy. What's in there, anyway?"
10,10,1,Jeremy,False,2,So small.
11,11,1,Jeremy,False,16,"OK, yeah, it's going under there. Right, it's under there now. It'll be safe under there."
12,12,1,Jeremy,False,5,"Jesus, you are something else."
13,13,1,Jeremy,True,12,"He took the insult as a compliment. Shit, he could become invulnerable."
14,14,1,Jeremy,False,6,Have you not sorted this yet?
15,15,1,Jeremy,False,13,"Phone pig? You're not going to lord it over me, are you, Mark?"
16,16,1,Jeremy,True,6,"Wow, she is one hot tamale."
17,17,1,Jeremy,False,20,"Whatever, I sleep naked, head out of the window, so when I wake up it's just me and the universe."
18,18,1,Jeremy,False,3,Got a system.
19,19,1,Jeremy,True,15,"The maestro, magically made her think of me naked. He didn't even clock her, tragic."
20,20,1,Jeremy,False,4,"What, all of it?"
21,21,1,Jeremy,False,9,"Cool. Whoa, it's tippy, I've got a tippy chair."
22,22,1,Jeremy,False,9,"There's a script? So I'll be, like, an actor?"
23,23,1,Jeremy,False,28,"Well, no, not everyone, 'cause if it's exclusive, then... Oh my God. It's wheels within wheels. I've been invited inside with the bean counters and the water boarders."
24,24,1,Jeremy,False,14,"Hey, man, can't stop, just to say, it's all going super great down there."
25,25,1,Jeremy,False,22,"I've made like, four sales, I'm zinging. Colin's put me the top of the leaderboard. I'm in line for Pizza Hut vouchers."
26,26,1,Jeremy,False,1,What's-?
27,27,1,Jeremy,False,5,"Oh, God, look at you."
28,28,1,Jeremy,False,3,Frightened little mouse.
29,29,1,Jeremy,False,23,"Oh, yeah, right, like there's a fire. There's never a fire, Mark, it just doesn't happen. I mean, maybe in a film but-"
30,30,1,Jeremy,False,23,"Not in an office, in England. God, you're pathetic. Ooh, fire, please don't burn me or my possessions. I'm so important and flammable."
31,31,1,Jeremy,False,13,"Come on, Mark, fucking hell, get your elbows in. It's all gone Backdraft."
32,32,1,Jeremy,False,16,"Wow, so everything's just gone tits up. I mean, how mad is that, headfuck or what?"
33,33,1,Jeremy,False,12,"Exactly, Pete was just saying a bunch might go down the Crown."
34,34,1,Jeremy,False,12,"You know, down to the Crown, where everyone goes on a Friday?"
35,35,1,Jeremy,False,11,"I cannot believe this, I can't. They've really screwed us, man."
36,36,1,Jeremy,False,11,"It's like JLB never existed, poof, just poof, gone, so sad."
37,37,1,Jeremy,False,1,Ooh.
38,38,1,Jeremy,False,7,That can't be good for our baby.
39,39,1,Jeremy,False,16,"You should give her a warning look, Mark. Let's try and give her a warning look."
40,40,1,Jeremy,False,7,"Let's not have a little pisshead, Mark."
41,41,1,Jeremy,False,5,"Hi, we were just wondering..."
42,42,1,Jeremy,False,3,"The wine, Soph."
