,index,Episode,Speaker,Internal,NumWords
0,0,1,Jeremy,True,4
1,1,1,Jeremy,True,7
2,2,1,Jeremy,True,10
3,3,1,Jeremy,True,3
4,4,1,Jeremy,True,2
5,5,1,Jeremy,False,2
6,6,1,Jeremy,False,16
7,7,1,Jeremy,False,5
8,8,1,Jeremy,False,8
9,9,1,Jeremy,False,10
10,10,1,Jeremy,False,5
11,11,1,Jeremy,False,10
12,12,1,Jeremy,False,10
13,13,1,Jeremy,False,6
14,14,1,Jeremy,False,11
15,15,1,Jeremy,False,10
16,16,1,Jeremy,False,12
17,17,1,Jeremy,False,4
18,18,1,Jeremy,False,10
19,19,1,Jeremy,False,8
20,20,1,Jeremy,True,7
21,21,1,Jeremy,True,7
22,22,1,Jeremy,False,4
23,23,1,Jeremy,True,18
24,24,1,Jeremy,True,5
25,25,1,Jeremy,True,9
26,26,1,Jeremy,False,3
27,27,1,Jeremy,False,1
28,28,1,Jeremy,False,3
29,29,1,Jeremy,False,2
30,30,1,Jeremy,False,1
31,31,1,Jeremy,False,1
32,32,1,Jeremy,False,1
33,33,1,Jeremy,False,16
34,34,1,Jeremy,False,2
35,35,1,Jeremy,False,5
36,36,1,Jeremy,False,7
37,37,1,Jeremy,False,5
38,38,1,Jeremy,False,8
39,39,1,Jeremy,False,9
40,40,1,Jeremy,False,2
41,41,1,Jeremy,False,11
42,42,1,Jeremy,False,1
43,43,1,Jeremy,False,1
44,44,1,Jeremy,False,3
45,45,1,Jeremy,False,5
46,46,1,Jeremy,False,3
47,47,1,Jeremy,False,3
48,48,1,Jeremy,False,23
49,49,1,Jeremy,False,8
50,50,1,Jeremy,False,2
51,51,1,Jeremy,False,8
52,52,1,Jeremy,False,16
53,53,1,Jeremy,False,3
54,54,1,Jeremy,False,4
55,55,1,Jeremy,False,7
56,56,1,Jeremy,False,7
57,57,1,Jeremy,False,3
58,58,1,Jeremy,False,6
59,59,1,Jeremy,False,4
60,60,1,Jeremy,False,25
61,61,1,Jeremy,False,5
62,62,1,Jeremy,False,19
63,63,1,Jeremy,False,2
64,64,1,Jeremy,False,2
65,65,1,Jeremy,False,5
66,66,1,Jeremy,False,3
67,67,1,Jeremy,False,4
68,68,1,Jeremy,False,1
69,69,1,Jeremy,True,16
70,70,1,Jeremy,False,8
71,71,1,Jeremy,False,2
72,72,1,Jeremy,True,8
73,73,1,Jeremy,True,7
74,74,1,Jeremy,True,25
75,75,1,Jeremy,True,5
76,76,1,Jeremy,False,8
77,77,1,Jeremy,False,7
