,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.19,0.491,0.319,0.4372,"OK Jez, the love of your life's coming back today, finish this shitty relationship.",1,Jeremy,14
1,0.331,0.282,0.387,-0.0516,"Shot to the head, nice clean kill.",1,Jeremy,7
2,0.0,1.0,0.0,0.0,You're gonna have to plunge a lot harder than that.,1,Michelle,10
3,0.521,0.479,0.0,-0.8276,"She might go angry, and I don't like her when she's angry.",1,Jeremy,12
4,0.231,0.769,0.0,-0.128,Just got to tough it out.,1,Jeremy,6
5,0.0,1.0,0.0,0.0,"Um, listen, Michelle, about us.",1,Jeremy,5
6,0.0,1.0,0.0,0.0,I've been thinking about us.,1,Michelle,5
7,0.0,0.814,0.186,0.4927,"You know I'm looking for a lodger, and you and me do go really good together.",1,Michelle,16
8,0.0,0.769,0.231,0.2732,"Well, I was thinking, how about you move in?",1,Michelle,9
9,0.0,0.854,0.146,0.3818,"That's interesting, because I was thinking that I like you loads and loads, obviously, but that also we could not see each other any more.",1,Jeremy,25
10,0.423,0.577,0.0,-0.296,Stop seeing each other?,1,Michelle,4
11,0.0,1.0,0.0,0.0,How's that gonna work?,1,Michelle,4
12,0.0,0.905,0.095,0.2732,"Well, I mean instead of us calling each other up and kind of meeting up and hanging out, we could try... not.",1,Jeremy,22
13,0.0,0.427,0.573,0.6166,"Jez, you're so funny!",1,Michelle,4
14,0.0,1.0,0.0,0.0,What are you afraid of?,1,Michelle,5
15,0.082,0.824,0.093,0.0772,"See, what I'm hearing loud and clear is that you're desperate for this relationship to grow, you just don't know how to make it happen.",1,Michelle,25
16,0.099,0.901,0.0,-0.296,"Right, no, kind of what I was saying was that we should split up and not see each other any more because-",1,Jeremy,22
17,0.0,1.0,0.0,0.0,"Shhh, Jez, you've had your say, now it's my turn.",1,Michelle,10
18,0.0,0.743,0.257,0.5859,You know how we have such an amazing time in bed together.,1,Michelle,12
19,0.0,0.84,0.16,0.2732,"Well, I was thinking, what if we took it to the next level?",1,Michelle,13
20,0.343,0.404,0.253,-0.2263,"Like, act out our dirtiest fantasies.",1,Michelle,6
21,0.0,1.0,0.0,0.0,"I mean, what would that involve exactly?",1,Jeremy,7
22,0.0,1.0,0.0,0.0,You can tell Michelle.,1,Michelle,4
23,0.0,0.815,0.185,0.3612,I guess I've always wondered what it might be like to have a threesome.,1,Jeremy,14
24,0.0,1.0,0.0,0.0,Is that too much?,1,Jeremy,4
25,0.0,1.0,0.0,0.0,"Tonight's the night, Sophie's actually coming over, for some work.",1,Mark,10
26,0.0,1.0,0.0,0.0,"I don't actually think there'll be much work, except sex work.",1,Mark,11
27,0.0,0.667,0.333,0.3612,Don't think of it like work.,1,Mark,6
28,0.0,1.0,0.0,0.0,"Fish pie, then missionary sex and Newsnight afterwards.",1,Mark,8
29,0.0,0.784,0.216,0.296,Might make a joke about Paxman and the economics woman.,1,Mark,10
30,0.0,0.833,0.167,0.296,Paxo... Paxo wants to stuff... stuffing... there's got to be a joke there.,1,Mark,13
31,0.0,1.0,0.0,0.0,"Will you lend us your phone, mate?",1,Mugger,7
32,0.0,1.0,0.0,0.0,Lend us your fucking phone.,1,Mugger,5
33,0.0,0.656,0.344,0.2732,Well I need to make a call.,1,Mugger,7
34,0.0,1.0,0.0,0.0,Don't you have your own phone?,1,Mark,6
35,0.0,1.0,0.0,0.0,"Come on, lend us your phone.",1,Mugger,6
36,0.0,1.0,0.0,0.0,"Right, it's just ""neither a lender nor a borrower be"".",1,Mark,10
37,0.0,1.0,0.0,0.0,Do you think we're some pair of shithouses?,1,Mugger,8
38,0.419,0.381,0.2,-0.3182,"No, God, no, it's just it's a Blackberry.",1,Mark,8
39,0.0,1.0,0.0,0.0,"Give us your phone, give us your wallet.",1,Mugger,8
40,0.0,1.0,0.0,0.0,Before we fucking do you.,1,Mugger,5
41,0.54,0.46,0.0,-0.6908,Are they gonna rape me?,1,Mark,5
42,0.588,0.292,0.121,-0.9217,"If they rape and kill me, I hope they kill me first.",1,Mark,12
43,0.0,0.345,0.655,0.5859,I sort of win.,1,Mark,4
44,0.0,1.0,0.0,0.0,You got nothing else?,1,Mugger,4
45,0.0,1.0,0.0,0.0,There's my travel card.,1,Mark,4
46,0.0,0.349,0.651,0.8807,"That's great, help the muggers, what do you want, approval?",1,Mark,10
47,0.0,1.0,0.0,0.0,(Oh this really takes the biscuit.),1,Mark,6
48,0.0,1.0,0.0,0.0,I thought it was at least the muggers who had to run off.,1,Mark,13
49,0.0,1.0,0.0,0.0,Oh this really leaves a sour taste.,1,Mark,7
50,0.0,0.804,0.196,0.4466,"This'll be OK, I'll just do the threesome tomorrow, then finish with her.",1,Jeremy,13
51,0.0,1.0,0.0,0.0,"Bit ungentlemanly but then, it's a threesome, it's not exactly Romeo and Juliet is it?",1,Jeremy,15
