,index,Season,Episode,NumSwears
0,0,1,1,49
1,1,1,2,53
2,2,1,3,30
3,3,1,4,27
4,4,1,5,43
5,5,1,6,27
6,6,2,1,29
7,7,2,2,49
8,8,2,3,37
9,9,2,4,36
10,10,2,5,34
11,11,2,6,25
12,12,3,1,29
13,13,3,2,25
14,14,3,3,42
15,15,3,4,24
16,16,3,5,29
17,17,3,6,35
18,18,4,1,29
19,19,4,2,54
20,20,4,3,34
21,21,4,4,47
22,22,4,5,40
23,23,4,6,64
24,24,5,1,44
25,25,5,2,48
26,26,5,3,30
27,27,5,4,39
28,28,5,5,52
29,29,5,6,35
30,30,6,1,44
31,31,6,2,42
32,32,6,3,38
33,33,6,4,34
34,34,6,5,50
35,35,6,6,47
36,36,7,1,31
37,37,7,2,29
38,38,7,3,47
39,39,7,4,42
40,40,7,5,31
41,41,7,6,50
42,42,8,1,44
43,43,8,2,26
44,44,8,3,48
45,45,8,4,26
46,46,8,5,28
47,47,8,6,55
48,48,9,1,48
49,49,9,2,37
50,50,9,3,44
51,51,9,4,48
52,52,9,5,41
53,53,9,6,60
